gene,CHR,GENE,START,END,N_SNPS,start_idx_chr,end_idx_chr,chr_start_idx_gw
DNAJC16,1,DNAJC16,15853351,15898228,4,3418,3421,0
AGMAT,1,AGMAT,15899151,15911605,5,3422,3426,0
DDI2,1,DDI2,15944069,15986748,8,3429,3436,0
RSC1A1,1,RSC1A1,15986363,15988217,3,3436,3438,0
PLEKHM2,1,PLEKHM2,16008025,16061264,5,3440,3444,0
SLC25A34,1,SLC25A34,16062808,16067884,3,3445,3447,0
FBLIM1,1,FBLIM1,16085254,16113084,3,3454,3456,0
LOC440567,1,LOC440567,16133656,16134194,2,3460,3461,0
SPEN,1,SPEN,16174358,16266950,10,3470,3479,0
ZBTB17,1,ZBTB17,16268363,16302627,6,3481,3486,0
HSPB7,1,HSPB7,16340522,16345285,2,3498,3499,0
CLCNKB,1,CLCNKB,16370246,16383803,9,3506,3514,0
FAM131C,1,FAM131C,16384263,16400127,4,3515,3518,0
EPHA2,1,EPHA2,16450831,16482564,11,3528,3538,0
ARHGEF19,1,ARHGEF19,16524598,16539104,5,3548,3552,0
C1orf89,1,C1orf89,16558194,16563446,2,3555,3556,0
FBXO42,1,FBXO42,16576558,16678948,10,3559,3568,0
C1orf144,1,C1orf144,16693582,16724640,2,3570,3571,0
SPATA21,1,SPATA21,16725137,16763919,7,3572,3578,0
NECAP2,1,NECAP2,16767232,16786573,4,3580,3583,0
CROCC,1,CROCC,17248444,17299474,7,3591,3597,0
MFAP2,1,MFAP2,17300998,17308081,3,3598,3600,0
ATP13A2,1,ATP13A2,17312452,17338267,10,3604,3613,0
SDHB,1,SDHB,17345224,17380665,16,3616,3631,0
PADI2,1,PADI2,17393255,17445948,26,3642,3667,0
PADI1,1,PADI1,17531620,17572501,26,3697,3722,0
PADI3,1,PADI3,17575592,17610727,12,3724,3735,0
PADI4,1,PADI4,17634691,17690495,22,3739,3760,0
PADI6,1,PADI6,17698740,17728195,12,3764,3775,0
RCC2,1,RCC2,17733278,17766220,7,3778,3784,0
ARHGEF10L,1,ARHGEF10L,17866329,18024370,49,3801,3849,0
ACTL8,1,ACTL8,18081843,18153558,17,3864,3880,0
IGSF21,1,IGSF21,18434239,18704976,108,3966,4073,0
KLHDC7A,1,KLHDC7A,18807423,18812480,7,4101,4107,0
PAX7,1,PAX7,18957499,19062632,52,4147,4198,0
TAS1R2,1,TAS1R2,19166092,19186155,6,4233,4238,0
ALDH4A1,1,ALDH4A1,19197925,19229072,9,4245,4253,0
UBR4,1,UBR4,19400999,19536746,20,4295,4314,0
KIAA0090,1,KIAA0090,19544583,19578046,3,4316,4318,0
MRTO4,1,MRTO4,19578074,19586622,3,4319,4321,0
AFAR3,1,AFAR3,19592475,19600435,2,4323,4324,0
AKR7A3,1,AKR7A3,19609056,19615280,3,4325,4327,0
AKR7A2,1,AKR7A2,19630461,19638640,4,4329,4332,0
PQLC2,1,PQLC2,19638739,19655794,4,4333,4336,0
CAPZB,1,CAPZB,19665272,19811992,28,4339,4366,0
C1orf151,1,C1orf151,19923466,19955174,3,4382,4384,0
NBL1,1,NBL1,19969725,19984945,7,4389,4395,0
HTR6,1,HTR6,19991779,20006055,7,4398,4404,0
TMCO4,1,TMCO4,20008705,20126410,44,4406,4449,0
RNF186,1,RNF186,20140521,20141771,3,4455,4457,0
OTUD3,1,OTUD3,20208887,20239437,4,4474,4477,0
PLA2G2E,1,PLA2G2E,20246799,20250110,4,4480,4483,0
PLA2G2A,1,PLA2G2A,20301930,20306909,5,4500,4504,0
PLA2G5,1,PLA2G5,20396700,20418394,5,4516,4520,0
PLA2G2D,1,PLA2G2D,20438433,20446008,5,4522,4526,0
PLA2G2F,1,PLA2G2F,20465822,20476879,3,4536,4538,0
PLA2G2C,1,PLA2G2C,20490483,20501687,6,4541,4546,0
MUL1,1,MUL1,20825940,20834674,2,4638,4639,0
CDA,1,CDA,20915443,20945400,12,4648,4659,0
PINK1,1,PINK1,20959947,20978004,4,4664,4667,0
KIF17,1,KIF17,20990506,21044317,27,4669,4695,0
HP1BP3,1,HP1BP3,21069170,21113181,4,4697,4700,0
EIF4G3,1,EIF4G3,21132973,21503340,24,4702,4725,0
ECE1,1,ECE1,21543739,21672034,31,4729,4759,0
NBPF3,1,NBPF3,21766630,21811393,7,4775,4781,0
ALPL,1,ALPL,21835857,21904905,24,4793,4816,0
RAP1GAP,1,RAP1GAP,21922714,21995799,22,4824,4845,0
USP48,1,USP48,22004791,22109688,15,4850,4864,0
LDLRAD2,1,LDLRAD2,22138757,22151714,12,4869,4880,0
HSPG2,1,HSPG2,22148736,22263750,39,4880,4918,0
ELA3B,1,ELA3B,22303417,22315847,6,4924,4929,0
CDC42,1,CDC42,22379119,22419436,5,4945,4949,0
WNT4,1,WNT4,22443797,22469519,8,4954,4961,0
ZBTB40,1,ZBTB40,22778343,22857650,15,5044,5058,0
EPHA8,1,EPHA8,22890003,22930087,11,5069,5079,0
C1QB,1,C1QB,22979681,22988029,2,5094,5095,0
EPHB2,1,EPHB2,23037330,23241823,50,5106,5155,0
AOF2,1,AOF2,23345945,23410184,4,5175,5178,0
LUZP1,1,LUZP1,23411450,23495338,11,5180,5190,0
HTR1D,1,HTR1D,23518387,23521222,2,5197,5198,0
HNRNPR,1,HNRNPR,23636275,23670853,3,5208,5210,0
ZNF436,1,ZNF436,23685940,23696357,4,5211,5214,0
TCEA3,1,TCEA3,23707554,23751261,12,5216,5227,0
DDEFL1,1,DDEFL1,23755055,23810671,9,5228,5236,0
E2F2,1,E2F2,23832921,23857713,6,5241,5246,0
TCEB3,1,TCEB3,24069961,24086383,2,5295,5296,0
HMGCL,1,HMGCL,24128366,24151949,2,5301,5302,0
FUCA1,1,FUCA1,24171571,24194821,5,5304,5308,0
CNR2,1,CNR2,24200459,24239817,8,5309,5316,0
FUSIP1,1,FUSIP1,24292938,24306821,2,5319,5320,0
MYOM3,1,MYOM3,24382530,24438665,24,5328,5351,0
IL22RA1,1,IL22RA1,24446260,24469611,4,5353,5356,0
IL28RA,1,IL28RA,24480646,24513751,5,5361,5365,0
GRHL3,1,GRHL3,24645880,24681808,10,5400,5409,0
C1orf201,1,C1orf201,24683488,24727949,11,5410,5420,0
NPAL3,1,NPAL3,24742317,24799400,11,5422,5432,0
RCAN3,1,RCAN3,24829386,24862427,6,5437,5442,0
C1orf130,1,C1orf130,24882601,24935816,13,5446,5458,0
CLIC4,1,CLIC4,25071847,25170759,6,5475,5480,0
RUNX3,1,RUNX3,25226001,25291501,13,5494,5506,0
C1orf63,1,C1orf63,25568739,25573985,2,5576,5577,0
TMEM50A,1,TMEM50A,25664810,25688852,4,5579,5582,0
RHCE,1,RHCE,25688739,25747363,4,5583,5586,0
TMEM57,1,TMEM57,25757418,25825929,5,5590,5594,0
LDLRAP1,1,LDLRAP1,25870075,25895377,12,5600,5611,0
MAN1C1,1,MAN1C1,25943958,26111258,26,5617,5642,0
SEPN1,1,SEPN1,26126666,26144713,8,5645,5652,0
FAM54B,1,FAM54B,26146396,26159433,2,5654,5655,0
C1orf135,1,C1orf135,26160496,26185848,4,5656,5659,0
PAFAH2,1,PAFAH2,26286257,26324648,3,5675,5677,0
EXTL1,1,EXTL1,26348270,26362954,2,5682,5683,0
TRIM63,1,TRIM63,26377797,26394121,7,5686,5692,0
PDIK1L,1,PDIK1L,26438325,26452039,2,5696,5697,0
CNKSR1,1,CNKSR1,26503980,26516375,4,5708,5711,0
CATSPER4,1,CATSPER4,26517118,26529033,9,5712,5720,0
CCDC21,1,CCDC21,26560692,26605299,10,5726,5735,0
UBXD5,1,UBXD5,26608772,26644756,5,5736,5740,0
AIM1L,1,AIM1L,26648349,26670443,11,5742,5752,0
ZNF683,1,ZNF683,26688124,26699266,7,5763,5769,0
LIN28,1,LIN28,26737268,26756219,3,5783,5785,0
DHDDS,1,DHDDS,26758801,26797795,4,5787,5790,0
RPS6KA1,1,RPS6KA1,26856248,26901520,9,5793,5801,0
ARID1A,1,ARID1A,27022521,27108601,8,5815,5822,0
GPN2,1,GPN2,27205872,27216869,2,5828,5829,0
GPATCH3,1,GPATCH3,27216979,27226957,2,5830,5831,0
NUDC,1,NUDC,27248223,27272887,2,5835,5836,0
C1orf172,1,C1orf172,27276060,27286897,3,5837,5839,0
SLC9A1,1,SLC9A1,27425306,27481401,5,5863,5867,0
WDTC1,1,WDTC1,27561158,27634735,5,5877,5881,0
TMEM222,1,TMEM222,27648635,27662891,2,5885,5886,0
SYTL1,1,SYTL1,27668512,27680421,3,5889,5891,0
MAP3K6,1,MAP3K6,27681669,27693337,5,5892,5896,0
WASF2,1,WASF2,27732125,27816669,5,5899,5903,0
AHDC1,1,AHDC1,27860755,27930143,12,5910,5921,0
FGR,1,FGR,27938800,27961727,6,5926,5931,0
FAM76A,1,FAM76A,28052489,28088115,3,5944,5946,0
STX12,1,STX12,28099693,28150963,3,5947,5949,0
PPP1R8,1,PPP1R8,28157292,28178183,2,5950,5951,0
C1orf38,1,C1orf38,28199054,28213193,5,5956,5960,0
RPA2,1,RPA2,28218048,28241236,5,5961,5965,0
SMPDL3B,1,SMPDL3B,28261503,28285663,7,5966,5972,0
EYA3,1,EYA3,28300818,28415131,10,5974,5983,0
PTAFR,1,PTAFR,28475861,28503191,2,5994,5995,0
DNAJC8,1,DNAJC8,28526789,28559542,2,5999,6000,0
ATPIF1,1,ATPIF1,28562610,28564611,3,6001,6003,0
SESN2,1,SESN2,28586005,28609002,5,6006,6010,0
PHACTR4,1,PHACTR4,28696092,28826881,9,6019,6027,0
SNHG3-RCC1,1,SNHG3-RCC1,28832495,28865607,5,6028,6032,0
TAF12,1,TAF12,28929612,28969585,3,6037,6039,0
GMEB1,1,GMEB1,28995243,29041387,2,6042,6043,0
YTHDF2,1,YTHDF2,29063135,29096287,3,6044,6046,0
OPRD1,1,OPRD1,29138653,29190208,11,6051,6061,0
EPB41,1,EPB41,29213627,29446958,19,6068,6086,0
SFRS4,1,SFRS4,29474362,29508361,9,6089,6097,0
MECR,1,MECR,29519384,29557454,9,6098,6106,0
PTPRU,1,PTPRU,29563046,29653316,18,6107,6124,0
MATN1,1,MATN1,31185995,31196887,2,6444,6445,0
LAPTM5,1,LAPTM5,31205315,31230667,10,6447,6456,0
SDC3,1,SDC3,31342312,31381480,15,6495,6509,0
PUM1,1,PUM1,31404352,31538564,18,6511,6528,0
WDR57,1,WDR57,31732414,31769644,3,6552,6554,0
ZCCHC17,1,ZCCHC17,31769841,31837780,8,6555,6562,0
FABP3,1,FABP3,31838099,31845923,2,6563,6564,0
SERINC2,1,SERINC2,31885962,31907525,5,6566,6570,0
TINAGL1,1,TINAGL1,32042159,32053287,5,6597,6601,0
HCRTR1,1,HCRTR1,32084640,32092714,4,6605,6608,0
PEF1,1,PEF1,32095470,32110477,2,6609,6610,0
COL16A1,1,COL16A1,32117847,32169768,17,6611,6627,0
BAI2,1,BAI2,32192717,32229648,4,6630,6633,0
SPOCD1,1,SPOCD1,32256024,32281580,6,6637,6642,0
PTP4A2,1,PTP4A2,32373792,32403988,4,6657,6660,0
KHDRBS1,1,KHDRBS1,32479490,32509472,2,6675,6676,0
TMEM39B,1,TMEM39B,32538502,32568467,2,6679,6680,0
KPNA6,1,KPNA6,32573643,32642168,5,6683,6687,0
TXLNA,1,TXLNA,32645344,32663886,6,6688,6693,0
C1orf91,1,C1orf91,32681797,32687926,3,6697,6699,0
LCK,1,LCK,32716839,32751766,3,6704,6706,0
HDAC1,1,HDAC1,32757707,32799224,3,6708,6710,0
BSDC1,1,BSDC1,32830775,32860027,4,6714,6717,0
ZBTB8,1,ZBTB8,33004771,33071542,5,6733,6737,0
ZBTB8OS,1,ZBTB8OS,33087306,33116185,2,6739,6740,0
RBBP4,1,RBBP4,33116823,33146254,3,6742,6744,0
SYNC1,1,SYNC1,33145506,33168361,8,6745,6752,0
KIAA1522,1,KIAA1522,33207511,33240571,7,6761,6767,0
YARS,1,YARS,33240839,33283633,5,6768,6772,0
S100PBP,1,S100PBP,33283175,33324476,6,6772,6777,0
FNDC5,1,FNDC5,33327876,33336347,3,6778,6780,0
HPCA,1,HPCA,33352097,33360247,2,6783,6784,0
RNF19B,1,RNF19B,33402049,33430286,4,6791,6794,0
AK2,1,AK2,33473585,33502492,6,6805,6810,0
ADC,1,ADC,33546713,33585995,4,6815,6818,0
TRIM62,1,TRIM62,33611003,33647267,3,6822,6824,0
ZNF362,1,ZNF362,33722173,33766320,5,6836,6840,0
A3GALT2,1,A3GALT2,33772366,33786699,3,6843,6845,0
PHC2,1,PHC2,33789223,33841194,14,6847,6860,0
ZSCAN20,1,ZSCAN20,33938231,33961995,4,6881,6884,0
CSMD2,1,CSMD2,33979608,34631443,184,6887,7070,0
HMGB4,1,HMGB4,34326075,34330392,4,6985,6988,0
C1orf94,1,C1orf94,34632623,34684731,25,7072,7096,0
GJB4,1,GJB4,35226777,35227928,2,7224,7225,0
GJA4,1,GJA4,35258598,35261348,3,7232,7234,0
C1orf212,1,C1orf212,35319123,35325345,3,7248,7250,0
DLGAP3,1,DLGAP3,35331036,35370984,8,7253,7260,0
ZMYM6,1,ZMYM6,35451766,35497569,2,7270,7271,0
ZMYM1,1,ZMYM1,35544971,35581455,4,7272,7275,0
ZMYM4,1,ZMYM4,35734567,35887545,10,7285,7294,0
KIAA0319L,1,KIAA0319L,35899090,36023004,14,7298,7311,0
TFAP2E,1,TFAP2E,36038970,36060927,3,7314,7316,0
PSMB2,1,PSMB2,36068738,36107143,3,7317,7319,0
CLSPN,1,CLSPN,36201817,36235551,5,7328,7332,0
EIF2C4,1,EIF2C4,36273827,36321188,6,7337,7342,0
EIF2C1,1,EIF2C1,36348809,36389899,3,7344,7346,0
EIF2C3,1,EIF2C3,36396771,36522063,8,7348,7355,0
ADPRHL2,1,ADPRHL2,36554485,36559533,2,7358,7359,0
TRAPPC3,1,TRAPPC3,36602172,36615067,2,7368,7369,0
MAP7D1,1,MAP7D1,36621802,36646441,6,7370,7375,0
THRAP3,1,THRAP3,36690016,36770957,9,7382,7390,0
C1orf113,1,C1orf113,36772717,36790486,3,7391,7393,0
FAM176B,1,FAM176B,36787631,36789755,2,7392,7393,0
STK40,1,STK40,36805224,36851485,9,7395,7403,0
C1orf102,1,C1orf102,36883506,36916052,6,7412,7417,0
MRPS15,1,MRPS15,36921361,36930040,5,7419,7423,0
CSF3R,1,CSF3R,36931643,36948509,4,7424,7427,0
GRIK3,1,GRIK3,37261127,37499844,55,7504,7558,0
C1orf149,1,C1orf149,37958175,37980364,2,7645,7646,0
SNIP1,1,SNIP1,38002141,38019903,2,7647,7648,0
DNALI1,1,DNALI1,38022519,38032458,3,7649,7651,0
GNL2,1,GNL2,38032416,38061496,4,7652,7655,0
RSPO1,1,RSPO1,38076950,38100491,2,7659,7660,0
C1orf109,1,C1orf109,38147241,38156192,3,7674,7676,0
CDCA8,1,CDCA8,38158158,38175391,5,7678,7682,0
EPHA10,1,EPHA10,38181645,38230824,17,7685,7701,0
MTF1,1,MTF1,38275238,38325292,7,7709,7715,0
INPP5B,1,INPP5B,38326368,38412729,17,7716,7732,0
SF3A3,1,SF3A3,38422651,38455761,5,7734,7738,0
FHL3,1,FHL3,38462441,38471234,4,7740,7743,0
UTP11L,1,UTP11L,38478383,38490497,2,7745,7746,0
GJA9,1,GJA9,39339738,39347289,5,7937,7941,0
RHBDL2,1,RHBDL2,39351478,39407456,9,7942,7950,0
AKIRIN1,1,AKIRIN1,39456916,39470979,2,7959,7960,0
MACF1,1,MACF1,39547117,39952789,49,7970,8018,0
BMP8A,1,BMP8A,39957317,39995541,3,8020,8022,0
PABPC4,1,PABPC4,40026487,40042416,3,8024,8026,0
HEYL,1,HEYL,40089102,40105348,3,8033,8035,0
NT5C1A,1,NT5C1A,40124792,40137710,2,8041,8042,0
HPCAL4,1,HPCAL4,40144644,40157089,5,8045,8049,0
PPIE,1,PPIE,40204529,40229586,10,8063,8072,0
BMP8B,1,BMP8B,40223902,40254533,8,8070,8077,0
TRIT1,1,TRIT1,40306727,40349177,6,8092,8097,0
MFSD2,1,MFSD2,40420809,40435628,2,8108,8109,0
CAP1,1,CAP1,40506254,40538321,7,8121,8127,0
PPT1,1,PPT1,40538383,40562968,6,8128,8133,0
RLF,1,RLF,40627040,40706593,7,8139,8145,0
ZMPSTE24,1,ZMPSTE24,40723732,40759856,5,8148,8152,0
COL9A2,1,COL9A2,40766162,40782939,6,8155,8160,0
SMAP2,1,SMAP2,40839727,40888994,11,8173,8183,0
ZNF643,1,ZNF643,40915778,40929352,6,8192,8197,0
ZNF642,1,ZNF642,40943301,40962015,3,8199,8201,0
C1orf176,1,C1orf176,40974432,40982214,5,8205,8209,0
ZNF684,1,ZNF684,40997232,41013839,3,8211,8213,0
RIMS3,1,RIMS3,41086351,41131324,10,8218,8227,0
NFYC,1,NFYC,41157241,41237275,9,8229,8237,0
KCNQ4,1,KCNQ4,41249683,41304360,16,8243,8258,0
CTPS,1,CTPS,41445006,41478235,4,8298,8301,0
SLFNL1,1,SLFNL1,41481268,41487387,2,8303,8304,0
SCMH1,1,SCMH1,41492873,41707788,20,8306,8325,0
EDN2,1,EDN2,41944445,41950297,2,8376,8377,0
HIVEP3,1,HIVEP3,41975683,42384496,69,8385,8453,0
GUCA2B,1,GUCA2B,42619091,42621495,3,8473,8475,0
FOXJ3,1,FOXJ3,42642209,42800903,13,8480,8492,0
FAM80A,1,FAM80A,42846467,42889900,8,8500,8507,0
ZMYND12,1,ZMYND12,42896093,42921927,7,8509,8515,0
LOC728621,1,LOC728621,43000559,43120335,12,8520,8531,0
PPIH,1,PPIH,43124047,43142429,2,8532,8533,0
YBX1,1,YBX1,43148065,43168020,4,8534,8537,0
CLDN19,1,CLDN19,43198763,43205925,3,8539,8541,0
LEPRE1,1,LEPRE1,43212005,43232755,3,8542,8544,0
CCDC23,1,CCDC23,43272732,43282923,2,8549,8550,0
ERMAP,1,ERMAP,43282775,43310660,5,8551,8555,0
ZNF691,1,ZNF691,43312279,43318146,2,8557,8558,0
SLC2A1,1,SLC2A1,43391045,43424847,10,8574,8583,0
LOC440585,1,LOC440585,43613593,43622067,3,8613,8615,0
WDR65,1,WDR65,43638025,43676549,11,8618,8628,0
TIE1,1,TIE1,43766663,43788779,5,8651,8655,0
MPL,1,MPL,43803474,43820135,2,8659,8660,0
CDC20,1,CDC20,43824625,43828873,2,8662,8663,0
C1orf84,1,C1orf84,43855555,43872565,3,8666,8668,0
KIAA0467,1,KIAA0467,43888796,43918304,9,8670,8678,0
PTPRF,1,PTPRF,43996546,44089343,17,8686,8702,0
JMJD2A,1,JMJD2A,44115796,44171189,5,8705,8709,0
ST3GAL3,1,ST3GAL3,44173217,44396831,26,8711,8736,0
ARTN,1,ARTN,44398991,44402884,2,8738,8739,0
IPO13,1,IPO13,44412642,44433425,2,8740,8741,0
B4GALT2,1,B4GALT2,44444865,44456840,2,8744,8745,0
SLC6A9,1,SLC6A9,44462154,44497134,6,8746,8751,0
KLF17,1,KLF17,44584521,44600809,2,8771,8772,0
PRNPIP,1,PRNPIP,44686741,44820939,13,8781,8793,0
RNF220,1,RNF220,44870959,45117396,67,8804,8870,0
TMEM53,1,TMEM53,45119500,45140099,6,8872,8877,0
KIF2C,1,KIF2C,45205489,45233438,6,8889,8894,0
PTCH2,1,PTCH2,45288086,45308616,2,8897,8898,0
EIF2B3,1,EIF2B3,45316449,45452282,14,8901,8914,0
HECTD3,1,HECTD3,45468219,45477027,2,8915,8916,0
ZSWIM5,1,ZSWIM5,45482075,45672250,11,8919,8929,0
MUTYH,1,MUTYH,45794913,45806142,3,8942,8944,0
TOE1,1,TOE1,45805341,45809650,2,8945,8946,0
TESK2,1,TESK2,45809554,45956840,10,8947,8956,0
LOC126661,1,LOC126661,45960580,45965646,2,8957,8958,0
PRDX1,1,PRDX1,45976706,45987609,2,8960,8961,0
AKR1A1,1,AKR1A1,46016497,46035721,6,8969,8974,0
NASP,1,NASP,46049716,46084567,3,8976,8978,0
